Expt Accession	TF-Target	Target	Tissue	Cell line	Cell type	Generic peak name	New Peak Name
GSE32509	CHD7	Bethyl,A301.223A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA301_223A	GSE32509_CHD7
GSE32509	CREBBP	Abcam,ab2832	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Abcamab2832	GSE32509_CREBBP
GSE32509	ESET	Santa cruz,166621X	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Santa_cruz166621X	GSE32509_ESET
GSE32509	EZH2	Active motif,39901	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Active_motif39901	GSE32509_EZH2
GSE32509	HDAC1	Santa cruz,6298X	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Santa_cruz6298X	GSE32509_HDAC1
GSE32509	HDAC2	Bethyl,A300.705A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA300_705A	GSE32509_HDAC2
GSE32509	HDAC6	Bethyl,A301.341A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA301_341A	GSE32509_HDAC6
GSE32509	HP1gamma_CBX3	Abcam,ab10480	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Abcamab10480	GSE32509_HP1gamma_CBX3
GSE32509	JARID1B	Bethyl,A301.813A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA301_813A	GSE32509_JARID1B
GSE32509	JARID1C	Bethyl,A301.034A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA301_034A	GSE32509_JARID1C
GSE32509	JMJD2A	Bethyl,A300-861A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA300-861A	GSE32509_JMJD2A
GSE32509	KDM5A_Jarid1A_RBBP2	Abcam,ab26049	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Abcamab26049	GSE32509_KDM5A_Jarid1A_RBBP2
GSE32509	NCoR	Bethyl,A301-145A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA301-145A	GSE32509_NCoR
GSE32509	p300	Bethyl,A300-358A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA300-358A	GSE32509_p300
GSE32509	p300	Santa cruz, 48343 X	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Santa_cruz_48343_X	GSE32509_p300_sc
GSE32509	PCAF	Bethyl,A301-666A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA301-666A	GSE32509_PCAF
GSE32509	PHF8	Bethyl,A301.772A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA301_772A	GSE32509_PHF8
GSE32509	PKC-theta	Abcam,ab73539	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Abcamab73539	GSE32509_PKC-theta
GSE32509	RbBP5	Bethyl,A300.109A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA300_109A	GSE32509_RbBP5
GSE32509	REST	Millipore,17-641	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Millipore17-641	GSE32509_REST
GSE32509	RNF2	Bethyl,A302-869A	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_BethylA302-869A	GSE32509_RNF2
GSE32509	SAP30	Active motif,3939731	-	-	H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	GSE32509_Active_motif3939731	GSE32509_SAP30
GSE32644	MEF2C	MEF2C	-	-	Human umbilical vein cells	GSE32644_MEF2C	GSE32644_MEF2C
GSE32673	E2F7	rabbit polyclonal E2F7, Santa Cruz, sc-66870	-	HeLa	-	GSE32673_rabbit_polyclonal_E2F7_Santa_Cruz_sc-66870	GSE32673_E2F7
GSE32673	E2F8	E2F8, Abcam ab109596	-	HeLa	-	GSE32673_E2F8_Abcam_ab109596	GSE32673_E2F8
GSE32692	c-Myc	cMYC	-	H54	glioblastoma	GSE32692_cMYC	GSE32692_c-Myc
GSE32692	CTCF	CTCF	-	H54	glioblastoma	GSE32692_CTCF	GSE32692_CTCF
GSE32892	AR	AR	-	-	-	GSE32892_AR	GSE32892_AR
GSE33007	KAT7_HBO1_MYST2	Anti-KAT7/Hbo1/ MYST2 antibody	-	RKO	human colon carcinoma	GSE33007_Anti-KAT7Hbo1_MYST2_antibody	GSE33007_KAT7_HBO1_MYST2
GSE33128	Gdown1	Gdown1	-	IMR90	fetal lung fibroblast	GSE33128_Gdown1	GSE33128_Gdown1
GSE33213	c-Myc	c-Myc	-	-	-	GSE33213_c-Myc	GSE33213_c-Myc
GSE33213	CTCF	CTCF	-	-	-	GSE33213_CTCF	GSE33213_CTCF
GSE33571	p63	anti-p63 4A4	-	-	neonatal keratinocytes	GSE33571_anti-p63_4A4	GSE33571_p63
GSE33850	GATA3	GATA3	-	Jurkat E6-1	-	GSE33850_GATA3	GSE33850_GATA3
GSE33850	LMO1	LMO1	-	Jurkat E6-1	-	GSE33850_LMO1	GSE33850_LMO1
GSE33850	LMO2	LMO2	-	Jurkat E6-1	-	GSE33850_LMO2	GSE33850_LMO2
GSE33850	RUNX1	RUNX1	-	Jurkat E6-1	-	GSE33850_RUNX1	GSE33850_RUNX1
GSE33850	TAL1	TAL1	-	Jurkat E6-1	-	GSE33850_TAL1	GSE33850_TAL1
GSE33850	TCF12_HEB	TCF12/HEB	-	Jurkat E6-1	-	GSE33850_TCF12HEB	GSE33850_TCF12_HEB
GSE33850	TCF3_E2A	TCF3/E2A	-	Jurkat E6-1	-	GSE33850_TCF3E2A	GSE33850_TCF3_E2A
GSE33887	HNRNPL	hnRNP L	-	HeLa	-	GSE33887_hnRNP_L	GSE33887_HNRNPL
GSE33889	RUNX2	Runx2 Flag tagged	-	C4-2B	-	GSE33889_Runx2_Flag_tagged	GSE33889_RUNX2
GSE33912	ATF3	anti-ATF3	-	-	Glioblastoma Multiforme stem like	GSE33912_anti-ATF3	GSE33912_ATF3
GSE33912	BMI1	anti-BMI1	-	-	Glioblastoma Multiforme stem like	GSE33912_anti-BMI1	GSE33912_BMI1
GSE34097	AFF4	AFF4 antibody [Lin et al. 2010]	-	HEK293T	human embryonic kidney cells	GSE34097_AFF4_antibody_Lin_et_al_2010	GSE34097_AFF4
GSE34419	Myc	anti-Myc tag	-	BE(2)-C/Tet-Off/Myc-HOXC9	-	GSE34419_anti-Myc_tag	GSE34419_Myc
GSE34500	p65	p65	-	-	Human umbilical vein endothelial cells	GSE34500_p65	GSE34500_p65
GSE34540	ETO	ETO	-	-	t(8;21) AML patient Blast cells	GSE34540_ETO	GSE34540_ETO
GSE34540	RUNX1	RUNX1	-	-	t(8;21) AML patient Blast cells	GSE34540_RUNX1	GSE34540_RUNX1
GSE34759	ERa	ERa	-	-	-	GSE34759_ERa	GSE34759_ERa
GSE34774	CBX2	CBX2	-	293T-Rex	-	GSE34774_CBX2	GSE34774_CBX2
GSE34774	PCGF4	PCGF4	-	293T-Rex	-	GSE34774_PCGF4	GSE34774_PCGF4
GSE34774	RING1B	RING1B	-	293T-Rex	-	GSE34774_RING1B	GSE34774_RING1B
GSE34774	RYBP	RYBP	-	293T-Rex	-	GSE34774_RYBP	GSE34774_RYBP
GSE34791	SP1	SP1	-	HCT116	-	GSE34791_SP1	GSE34791_SP1
GSE34871	HIF1b	HIF-1beta	-	786-O clear cell renal carcinoma cells	-	GSE34871_HIF-1beta	GSE34871_HIF1b
GSE34871	HIF2a	HIF-2alpha	-	786-O clear cell renal carcinoma cells	-	GSE34871_HIF-2alpha	GSE34871_HIF2a
GSE34890	LANA	LANA rat monoclonal antibody	-	BCBL1	-	GSE34890_LANA_rat_monoclonal_antibody	GSE34890_LANA
GSE34941	AF4	AF4	-	-	RS4;11 ALL cells	GSE34941_AF4	GSE34941_AF4
GSE34941	MLLN	MLLN	-	-	RS4;11 ALL cells	GSE34941_MLLN	GSE34941_MLLN
GSE35109	ERa	ERα, Santa Cruz Biotechnology, sc-8005 X	-	-	-	GSE35109_ERα_Santa_Cruz_Biotechnology_sc-8005_X	GSE35109_ERa
GSE35197	GPS2	anti-GPS2	-	-	293T	GSE35197_anti-GPS2	GSE35197_GPS2
GSE35197	N-CoR	anti-N-CoR	-	-	293T	GSE35197_anti-N-CoR	GSE35197_N-CoR
GSE35197	TBL1	anti-TBL1	-	-	293T	GSE35197_anti-TBL1	GSE35197_TBL1
GSE35486	ERa	ER antibody, Santa Cruz	-	DLD1 cell line	-	GSE35486_ER_antibody_Santa_Cruz	GSE35486_ERa_sc
GSE35486	ERa	ERα Antibody	-	DLD1 cell line	-	GSE35486_ERα_Antibody	GSE35486_ERa
GSE35486	FOXO3	aFOXO3	-	DLD1 cell line	-	GSE35486_aFOXO3	GSE35486_FOXO3
GSE35486	RBP1	anti RBP1	-	DLD1 cell line	-	GSE35486_anti_RBP1	GSE35486_RBP1
GSE35954	p300	p300 Antibody	-	MCF7	breast cancer cells	GSE35954_p300_Antibody	GSE35954_p300
GSE36114	NANOG	NANOG	-	-	mouse embryonic stem cells (E14)	GSE36114_NANOG	GSE36114_Nanog
GSE36114	OCT4	OCT4	-	-	mouse embryonic stem cells (E14)	GSE36114_OCT4	GSE36114_OCT4
GSE36114	p300	p300	-	-	mouse embryonic stem cells (E14)	GSE36114_p300	GSE36114_p300
GSE36114	TAF1	TAF1	-	-	mouse embryonic stem cells (E14)	GSE36114_TAF1	GSE36114_TAF1
GSE36134	OCT4a	OCT4A	-	-	pluripotent cells	GSE36134_OCT4A	GSE36134_OCT4a
GSE36134	SNF5	SNF5	-	-	pluripotent cells	GSE36134_SNF5	GSE36134_SNF5
GSE36140	OCT4a	OCT4A	-	NCCIT	pluripotent cells	GSE36140_OCT4A	GSE36140_OCT4a
GSE36140	SNF5	SNF5	-	NCCIT	pluripotent cells	GSE36140_SNF5	GSE36140_SNF5
GSE36185	Dcp1a	rabbit anti-Dcp1a	-	HEK293	-	GSE36185_rabbit_anti-Dcp1a	GSE36185_Dcp1a
GSE36185	TTF2	rabbit anti-TTF2	-	HEK293	-	GSE36185_rabbit_anti-TTF2	GSE36185-r_TTF2
GSE36185	TTF2	sheep anti-TTF2	-	HEK293	-	GSE36185_sheep_anti-TTF2	GSE36185_TTF2
GSE36185	XRN2	rabbit anti-Xrn2	-	HEK293	-	GSE36185_rabbit_anti-Xrn2	GSE36185_XRN2
GSE36351	TFAP2C	TFAP2C monoclonal antibody	-	SKBR-3	-	GSE36351_TFAP2C_monoclonal_antibody	GSE36351_TFAP2C
GSE36354	CDK9	Cdk9	-	-	P493-6	GSE36354_Cdk9	GSE36354_CDK9
GSE36354	c-Myc	c-Myc	-	-	P493-6	GSE36354_c-Myc	GSE36354_c-Myc
GSE36354	c-Myc	cMyc	-	-	P493-6	GSE36354_cMyc	GSE36354_cMyc
GSE36354	MAX	Max	-	-	P493-6	GSE36354_Max	GSE36354_MAX
GSE36354	MED1_TRAP220	Med1/TRAP220	-	-	P493-6	GSE36354_Med1TRAP220	GSE36354_MED1_TRAP220
GSE36546	CTBP	CtBP	-	-	Immortalized breast cancer cells	GSE36546_CtBP	GSE36546_CTBP
GSE36570	c-Myc	c-Myc	-	BJ	foreskin fibroblast cell	GSE36570_c-Myc	GSE36570_c-Myc
GSE36570	KLF4	Klf4	-	BJ	foreskin fibroblast cell	GSE36570_Klf4	GSE36570_KLF4
GSE36570	OCT4	Oct4	-	BJ	foreskin fibroblast cell	GSE36570_Oct4	GSE36570_OCT4
GSE36570	SOX2	Sox2	-	BJ	foreskin fibroblast cell	GSE36570_Sox2	GSE36570_SOX2
GSE36578	SMAD3	Smad3	-	BGO3 (feeder free)	Embryonic stem cells	GSE36578_Smad3	GSE36578_SMAD3
GSE36578	SMC1	Smc1	-	BGO3 (feeder free)	Embryonic stem cells	GSE36578_Smc1	GSE36578_SMC1
GSE36578	SMC3	Smc3	-	BGO3 (feeder free)	Embryonic stem cells	GSE36578_Smc3	GSE36578_SMC3
GSE36579	SETDB1	SetDB1	-	WM262	Melanoma	GSE36579_SetDB1	GSE36579_SetDB1
GSE36620	HCF1	HCF1	Bone Marrow	H293T	-	GSE36620_HCF1	GSE36620_HCF1
GSE36620	TET2	Tet2	Bone Marrow	H293T	-	GSE36620_Tet2	GSE36620_TET2
GSE36749	p53	p53	-	-	Fibroblast cells from Li Fraumeni patient	GSE36749_p53	GSE36749_p53
GSE36985	CTCF	CTCF	CD34+ HSPC-derived proerythroblasts	-	-	GSE36985_CTCF	GSE36985_CTCF
GSE36985	GATA1	GATA1	CD34+ HSPC-derived proerythroblasts	-	-	GSE36985_GATA1	GSE36985_GATA1
GSE36985	IRF2	IRF2	CD34+ HSPC-derived proerythroblasts	-	-	GSE36985_IRF2	GSE36985_IRF2
GSE36985	NFE2	NFE2	CD34+ HSPC-derived proerythroblasts	-	-	GSE36985_NFE2	GSE36985_NFE2
GSE36985	RAD21	RAD21	CD34+ HSPC-derived proerythroblasts	-	-	GSE36985_RAD21	GSE36985_RAD21
GSE36985	TAL1	TAL1	CD34+ HSPC-derived proerythroblasts	-	-	GSE36985_TAL1	GSE36985_TAL1
GSE37345	AR	anti-AR	-	LNCaP	-	GSE37345_anti-AR	GSE37345_AR
GSE37345	FOXA1	anti-FoxA1	-	LNCaP	-	GSE37345_anti-FoxA1	GSE37345_FOXA1
GSE37403	SNAPC1	anti-SNAPC1 rabbit polyclonal	-	non-tumorigenic epithelial cell line MCF 10A	-	GSE37403_anti-SNAPC1_rabbit_polyclonal	GSE37403_SNAPC1
GSE37403	SNAPC	anti-SNAPC 190	-	non-tumorigenic epithelial cell line MCF 10A	-	GSE37403_anti-SNAPC_190	GSE37403_SNAPC
GSE37589	NRF2	rabbit monoclonal anti-NRF2	-	GM12878	lymphoblastoid	GSE37589_rabbit_monoclonal_anti-NRF2	GSE37589_NRF2
GSE37752	ERG	ERG	-	RWPE1	benign prostate epithelial cells	GSE37752_ERG	GSE37752_ERG
GSE38103	SMAD3	SMAD3	-	LX2	human hepatic stellate cells	GSE38103_SMAD3	GSE38103_SMAD3
GSE38103	VDR	VDR	-	LX2	human hepatic stellate cells	GSE38103_VDR	GSE38103_VDR
GSE38170	FOXM1	FOXM1	-	U2OS	Osteosarcoma	GSE38170_FOXM1	GSE38170_FOXM1
GSE38258	CDK8	CDK8	-	HCT116	-	GSE38258_CDK8	GSE38258_CDK8
GSE38273	BMI1	BMI1 - Bethyl A301-694 Lot#A301-694A-2	-	293T-Rex	-	GSE38273_BMI1_-_Bethyl_A301-694_Lot#A301-694A-2	GSE38273_BMI1
GSE38273	PCGF4	PCGF4 - Bethyl A301-694A	-	293T-Rex	-	GSE38273_PCGF4_-_Bethyl_A301-694A	GSE38273_PCGF4
GSE38273	SCML2	SCML2	-	293T-Rex	-	GSE38273_SCML2	GSE38273_SCML2
GSE38275	BMI1	BMI1 - Bethyl A301-694 Lot#A301-694A-2	-	293T-Rex	-	GSE38275_BMI1_-_Bethyl_A301-694_Lot#A301-694A-2	GSE38275_BMI1
GSE38275	PCGF4	PCGF4 - Bethyl A301-694A	-	293T-Rex	-	GSE38275_PCGF4_-_Bethyl_A301-694A	GSE38275_PCGF4
GSE38275	SCML2	SCML2	-	293T-Rex	-	GSE38275_SCML2	GSE38275_SCML2
GSE38339	HOXA9	HOXA9	-	-	SEM	GSE38339_HOXA9	GSE38339_HOXA9
GSE38339	MEIS1	MEIS1	-	-	SEM	GSE38339_MEIS1	GSE38339_MEIS1
GSE38395	NIPBL	Nipbl	-	-	HLS554P	GSE38395_Nipbl	GSE38395_NIPBL
GSE38395	SMC1	Smc1	-	-	HLS554P	GSE38395_Smc1	GSE38395_SMC1
GSE38403	AF4	AF4	-	-	RS4;11 ALL cells	GSE38403_AF4	GSE38403_AF4
GSE38403	MLLN	MLLN	-	-	RS4;11 ALL cells	GSE38403_MLLN	GSE38403_MLLN
GSE38411	CTCF	rabbit anti-CTCF	-	BCBL1	KSHV-infected pleural effusion lymphoma cells	GSE38411_rabbit_anti-CTCF	GSE38411_CTCF
GSE38411	SMC1	rabbit anti-SMC1	-	BCBL1	KSHV-infected pleural effusion lymphoma cells	GSE38411_rabbit_anti-SMC1	GSE38411_SMC1
GSE38567	IRF5	IRF5	-	-	peripheral blood mononuclear cells (PBMCs)	GSE38567_IRF5	GSE38567_IRF5
GSE38567	STAT4	STAT4	-	-	peripheral blood mononuclear cells (PBMCs)	GSE38567_STAT4	GSE38567_STAT4
GSE38684	CTCF	CTCF	-	LNCaP	-	GSE38684_CTCF	GSE38684_CTCF
GSE38685	CTCF	CTCF	-	LNCaP	-	GSE38685_CTCF	GSE38685_CTCF
GSE38901	HSF1	HSF1	-	-	Patient Tumor	GSE38901_HSF1	GSE38901_HSF1
GSE39089	HIF1a	HIF1α [Novus Biologicals NB100-134 lot.K2]	-	-	HUVEC	GSE39089_HIF1α_Novus_Biologicals_NB100-134_lot_K2	GSE39089_HIF1a
GSE39096	YY1	YY1	-	-	human embryonic stem cells	GSE39096_YY1	GSE39096_YY1
GSE39138	FOXK1	FOXK1	-	HeLa	epithelial	GSE39138_FOXK1	GSE39138_FOXK1
GSE39241	FOXA1	FoxA1	-	-	HuH7	GSE39241_FoxA1	GSE39241_FOXA1
GSE39243	FOXA1	FoxA1	-	-	HuH7	GSE39243_FoxA1	GSE39243_FOXA1
GSE39263	ZNF143	ZNF143, rabbit polyclonal raised against a C-terminal epitope of ZNF143	-	HPB-ALL	-	GSE39263_ZNF143_rabbit_polyclonal_raised_against_a_C-terminal_epitope_of_ZNF143	GSE39263_ZNF143
GSE39263	ZNF76	ZNF76, mouse monoclonal	-	HPB-ALL	-	GSE39263_ZNF76_mouse_monoclonal	GSE39263_ZNF76
GSE39277	CBP	CBP	-	LS180 cells	cultured CRC cells	GSE39277_CBP	GSE39277_CBP
GSE39277	MED1	MED1	-	LS180 cells	cultured CRC cells	GSE39277_MED1	GSE39277_MED1
GSE39277	NCoR	NCoR	-	LS180 cells	cultured CRC cells	GSE39277_NCoR	GSE39277_NCoR
GSE39277	SMRT	SMRT	-	LS180 cells	cultured CRC cells	GSE39277_SMRT	GSE39277_SMRT
GSE39277	SRC-1	SRC-1	-	LS180 cells	cultured CRC cells	GSE39277_SRC-1	GSE39277_SRC-1
GSE39467	EZH2	EZH2	-	HCT116	-	GSE39467_EZH2	GSE39467_EZH2
GSE39467	MTA2	MTA2	-	HCT116	-	GSE39467_MTA2	GSE39467_MTA2
GSE39879	AR	AR	-	LNCaP-1F5 cells	Prostate epithelial cells derived from metastatic prostate carcinoma, genetically engineered to express rat glucocorticoid receptor (Cleutjens et al., 1997).	GSE39879_AR	GSE39879_AR
GSE39879	GR	GR	-	LNCaP-1F5 cells	Prostate epithelial cells derived from metastatic prostate carcinoma, genetically engineered to express rat glucocorticoid receptor (Cleutjens et al., 1997).	GSE39879_GR	GSE39879_GR
GSE39880	AR	AR	-	LNCaP-1F5 cells	Prostate epithelial cells derived from metastatic prostate carcinoma, genetically engineered to express rat glucocorticoid receptor (Cleutjens et al., 1997).	GSE39880_AR	GSE39880_AR
GSE39880	GR	GR	-	LNCaP-1F5 cells	Prostate epithelial cells derived from metastatic prostate carcinoma, genetically engineered to express rat glucocorticoid receptor (Cleutjens et al., 1997).	GSE39880_GR	GSE39880_GR
GSE39998	FOXA1	FOXA1 [Abcam, ab23738	-	NCI-H3122	-	GSE39998_FOXA1_Abcam_ab23738	GSE39998_FOXA1
GSE39998	NKX2-1	NKX2-1 [Bethyl Laboratories, BL4000]	-	NCI-H3122	-	GSE39998_NKX2-1_Bethyl_Laboratories_BL4000	GSE39998_NKX2-1
GSE40050	AR	AR	-	22RV1	-	GSE40050_AR	GSE40050_AR
GSE40050	FOXA1	FOXA1	-	22RV1	-	GSE40050_FOXA1	GSE40050_FOXA1
GSE40300	c-MYC	anti-c-Myc monoclonal, Clone 9E10	lung carcinoma	A549	-	GSE40300_anti-c-Myc_monoclonal_Clone_9E10	GSE40300_c-Myc
GSE40300	NM23-h2	anti-nm23-h2	lung carcinoma	A549	-	GSE40300_anti-nm23-h2	GSE40300_NM23-h2
GSE40343	E2F7	E2F7 antibody	-	IMR90	-	GSE40343_E2F7_antibody	GSE40343_E2F7
GSE40433	c-MYC	anti-c-Myc monoclonal, Clone 9E10	lung carcinoma	A549	-	GSE40433_anti-c-Myc_monoclonal_Clone_9E10	GSE40433_c-Myc
GSE40433	NM23-h2	anti-nm23-h2	lung carcinoma	A549	-	GSE40433_anti-nm23-h2	GSE40433_NM23-h2
GSE40536	AGO1	anti-Ago1; Wako	-	PC-3	-	GSE40536_anti-Ago1_Wako	GSE40536_AGO1
GSE40536	AGO2	anti-Ago2; Wako	-	PC-3	-	GSE40536_anti-Ago2_Wako	GSE40536_AGO2
GSE40591	BRCA1	anti-BRCA1 mouse monoclonal D-9	-	MCF10A	breast epithelial cells	GSE40591_anti-BRCA1_mouse_monoclonal_D-9	GSE40591_BRCA1
GSE40591	BRCA1	anti-BRCA1 rabbit polyclonal I-20	-	MCF10A	breast epithelial cells	GSE40591_anti-BRCA1_rabbit_polyclonal_I-20	GSE40591-r_BRCA1
GSE40591	PALB2	anti-PALB2 rabbit polyclonal	-	MCF10A	breast epithelial cells	GSE40591_anti-PALB2_rabbit_polyclonal	GSE40591_PALB2
GSE40632	AFF4	non-commercial rabbit anti-AFF4 Ref PMID 20159561	-	HeLa	-	GSE40632_non-commercial_rabbit_anti-AFF4_Ref_PMID_20159561	GSE40632_AFF4
GSE40632	ELL2	non-commercial rabbit anti-ELL2 Ref PMID 20159561	-	HeLa	-	GSE40632_non-commercial_rabbit_anti-ELL2_Ref_PMID_20159561	GSE40632_ELL2
GSE40632	INTS11	anti-INTS11 rabbit polyclonal	-	HeLa	-	GSE40632_anti-INTS11_rabbit_polyclonal	GSE40632_INTS11
GSE40724	PR	PR	-	T47D	Leiomyoma cells	GSE40724_PR	GSE40724_PR
GSE40740	CBX7	AB-21873 from ABCAM	normal foreskin	-	-	GSE40740_AB-21873_from_ABCAM	GSE40740_CBX7
GSE40740	CBX8	A300-882a from BETHYL	normal foreskin	-	-	GSE40740_A300-882a_from_BETHYL	GSE40740_CBX8
GSE40740	MRO19	MRO19 - in house rabbit polyclonal	normal foreskin	-	-	GSE40740_MRO19_-_in_house_rabbit_polyclonal	GSE40740_MRO19
GSE40740	RING1_BF	2820 from Cell Signalling Lab, LRI	normal foreskin	-	-	GSE40740_2820_from_Cell_Signalling_Lab_LRI	GSE40740_RING1_BF
GSE41000	SIRT3	SIRT3	-	U2OS	human osteosarcoma cells	GSE41000_SIRT3	GSE41000_SIRT3
GSE41006	V5	V5-Agarose	-	-	HeLa	GSE41006_V5-Agarose	GSE41006_V5
GSE41048	CTCF	CTCF	-	WI-38	hTERT-immortalized WI-38 primary human lung fibroblasts	GSE41048_CTCF	GSE41048_CTCF
GSE41050	CTCF	CTCF	-	WI-38	hTERT-immortalized WI-38 primary human lung fibroblasts	GSE41050_CTCF	GSE41050_CTCF
GSE41100	p65	p65	-	-	Cervical cancer cell line	GSE41100_p65	GSE41100_p65
GSE41105	c-Myc	cMyc	-	H2171	-	GSE41105_cMyc	GSE41105_c-Myc
GSE41105	MAX	Max	-	H2171	-	GSE41105_Max	GSE41105_MAX
GSE41166	ETS1	ETS1	-	-	Primary Human Umbilical Vein Endothelial Cells	GSE41166_ETS1	GSE41166_ETS1
GSE41166	p300	p300	-	-	Primary Human Umbilical Vein Endothelial Cells	GSE41166_p300	GSE41166_p300
GSE41234	TFAP2C	TFAP2C monoclonal antibody SC-12762X	-	A375	pigmented melanoma	GSE41234_TFAP2C_monoclonal_antibody_SC-12762X	GSE41234_TFAP2C
GSE41466	PR	anti-PR	-	T47D-MTVL	T47D-MTVL breast cancer cell line	GSE41466_anti-PR	GSE41466_PR
GSE41561	E2F4	E2F4; sc-866	-	MCF7	-	GSE41561_E2F4_sc-866	GSE41561_E2F4
GSE41561	ER	ER; sc-534	-	MCF7	-	GSE41561_ER_sc-534	GSE41561_ER
GSE41561	GREB1	GREB1; ab72999	-	MCF7	-	GSE41561_GREB1_ab72999	GSE41561_GREB1_ab
GSE41561	GREB1	GREB1; HPA024616	-	MCF7	-	GSE41561_GREB1_HPA024616	GSE41561_GREB1
GSE41561	KLF4	KLF4; R&D systems AF3640-Lot	-	MCF7	-	GSE41561_KLF4_RD_systems_AF3640-Lot	GSE41561_KLF4
GSE41561	RXRA	RXRA;  sc-553	-	MCF7	-	GSE41561_RXRA_sc-553	GSE41561_RXRa
GSE41561	TLE3	TLE3; ab94972	-	MCF7	-	GSE41561_TLE3_ab94972	GSE41561_TLE3
GSE41629	CEBPa	CEBPa	-	-	adipocyte	GSE41629_CEBPa	GSE41629_CEBPa
GSE41629	LXR	LXR	-	-	adipocyte	GSE41629_LXR	GSE41629_LXR
GSE41629	PPARg	PPARg	-	-	adipocyte	GSE41629_PPARg	GSE41629_PPARg
GSE41820	AHR	AHR antibody	-	MCF-7	-	GSE41820_AHR_antibody	GSE41820_AHR
GSE41820	ARNT	ARNT antibody	-	MCF-7	-	GSE41820_ARNT_antibody	GSE41820_ARNT
GSE42075	RUNX1	Runx1	-	-	SEM	GSE42075_Runx1	GSE42075_RUNX1
GSE42161	BRD4	Brd4	-	-	Plasma cell	GSE42161_Brd4	GSE42161_BRD4
GSE42161	CDK9	Cdk9	-	-	Plasma cell	GSE42161_Cdk9	GSE42161_CDK9
GSE42161	c-Myc	c-Myc	-	-	Plasma cell	GSE42161_c-Myc	GSE42161_c-Myc
GSE42161	MAX	Max	-	-	Plasma cell	GSE42161_Max	GSE42161_MAX
GSE42161	MED1_TRAP220	Med1/TRAP220	-	-	Plasma cell	GSE42161_Med1TRAP220	GSE42161_MED1_TRAP220
GSE42262	BRD4	Brd4	-	-	P493-6	GSE42262_Brd4	GSE42262_BRD4
GSE42262	c-Myc	c-Myc	-	-	P493-6	GSE42262_c-Myc	GSE42262_c-Myc
GSE42262	MAX	Max	-	-	P493-6	GSE42262_Max	GSE42262_MAX
GSE42262	MED1_TRAP220	Med1/TRAP220	-	-	P493-6	GSE42262_Med1TRAP220	GSE42262_MED1_TRAP220
GSE42355	BRD4	Brd4	-	-	MM1.S	GSE42355_Brd4	GSE42355_BRD4
GSE42355	CDK9	Cdk9	-	-	MM1.S	GSE42355_Cdk9	GSE42355_CDK9
GSE42355	MED1_TRAP220	Med1/TRAP220	-	-	MM1.S	GSE42355_Med1TRAP220	GSE42355_MED1_TRAP220
GSE42390	SCL_TAL1	Scl/TAL1	-	-	Erythroid cells	GSE42390_SclTAL1	GSE42390_SCL_TAL1
GSE42566	BMI1	Anti-BMI1 [rabbit, Cell Signaling, cat# 6964, lot# 1]	-	DU145 prostate cancer cells	-	GSE42566_Anti-BMI1_rabbit_Cell_Signaling_cat#_6964_lot#_1	GSE42566_BMI1
GSE42566	EED	Anti-EED [Millipore, cat# 05-1320, Lot# NG1841057]	-	DU145 prostate cancer cells	-	GSE42566_Anti-EED_Millipore_cat#_05-1320_Lot#_NG1841057	GSE42566_EED
GSE42566	RING1A	Anti-RING1A [rabbit, Cell Signaling, cat# 2820, lot# 1]	-	DU145 prostate cancer cells	-	GSE42566_Anti-RING1A_rabbit_Cell_Signaling_cat#_2820_lot#_1	GSE42566_RING1A
